block	prime	fragment	posprime	ctrlprime	blckprime
nephew	nymphs	n _ _ p h _	0.75	0.1	0.2
pretty	partly	p _ r t _ y	0.95	0.45	0.55
mistake	massage	m _ _ s a _ e	0.75	0.3	0.4
scratch	stealth	s _ _ a _ t h	0.5	0.05	0.15
beginning	beguiling	b e _ _ i _ i n g	0.4	0	0.1
english	eclipse	e _ l i _ s _	0.4	0	0.1
garbage	garages	g a _ a _ e s	0.65	0.25	0.35
change	chapel	c h a _ e _	0.8	0.5	0.6
science	scenery	s c _ n e _ _	0.75	0.45	0.55
jacket	juices	j _ _ c _ s	0.85	0.6	0.7
turkey	toured	t _ u r e _	0.35	0.1	0.2
wander	waters	w a _ e r _	0.95	0.7	0.8
understand	underrated	u n d e r _ a _ _ d	0.25	0.05	0.15
ballet	battle	b a _ _ l _	0.15	0	0.1
cracker	croaked	c r _ a k e _	0.4	0.3	0.4
package	packets	p a c _ e _ s	0.4	0.3	0.4
butterfly	brotherly	b _ _ t _ e r l y	0.05	0	0.1
forever	forgery	f o r _ e _ _	0.3	0.25	0.35
window	widows	w _ d o _ s	0.9	0.85	0.95
dolphin	dashing	d _ _ h i n _	0	0	0.1
perfect	precept	p _ e _ e _ t	0.05	0.25	0.35
boring	brings	b _ i _ g s	0.65	0.05	0.2
donkey	drones	d _ o n _ s	0.55	0.15	0.3
waiter	wraith	w _ a i t _	0.4	0	0.15
borrow	border	b o r _ _ r	0.85	0.5	0.65
remember	reviewer	r e _ _ e _ e r	0.4	0.05	0.2
kidnap	kindly	k i _ d _ _	0.65	0.4	0.55
stairs	stasis	s t a _ i _	0.15	0	0.15
helper	healed	h e _ l _ _	0.35	0.25	0.4
graduation	grindstone	g r _ _ d _ t o n e	0.8	0.15	0.35
negative	nineteen	n i _ e t _ e _	0.9	0.25	0.45
weather	wealthy	w e a _ t h _	0.95	0.4	0.6
number	nutmeg	n u _ m e _	0.45	0	0.2
squirrel	sprinkle	s _ r i _ _ l e	0.55	0.15	0.35
strange	strains	s _ r a _ n s	0.9	0.5	0.7
rocket	recent	r _ c e _ t	0.65	0.3	0.5
newspaper	necessary	n e _ e s _ a r _	0.75	0.45	0.65
behind	blinds	b _ _ n d s	0.9	0.75	0.95
teacher	treated	t _ e a _ e _	0.4	0.25	0.45
stupid	stumps	s _ u _ p s	0.3	0.25	0.45
sister	shiver	s _ i _ e r	0.65	0.3	0.55
creativity	criticisms	c r _ t i _ i _ m s	0.55	0.4	0.65
inside	ignite	i _ n i _ e	0.9	0.1	0.4
